"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JC_struc","JA_struc","NewHybrids_FinalAssignment"
"1","076770_748_S2_","NewHyb_BCxBC",3.99477,"0.995; 1; 1; 1","NewHyb_BC3JAxBC2JC",0.00451,"0.005; 0; 0; 0","NewHyb_BCxBC",4,4,TRUE,0.501719,0.498281,"NewHyb_BCxBC"
"2","076771_749_S3_","NewHyb_BCxBC",3.91355,"0.999; 1; 0.915; 1","NewHyb_F1",0.08541,"0; 0; 0.085; 0","NewHyb_BCxBC",4,4,TRUE,0.52449,0.47551,"NewHyb_BCxBC"
"3","076774_750_S6_","NewHyb_BCJC",1.88283,"0.008; 0.994; 0.828; 0.053","NewHyb_BCJCxBCJC",0.95007,"0.094; 0.005; 0.116; 0.734","NewHyb_BCJC",2,2,TRUE,0.777726,0.222274,"complexBC_JC"
"4","076775_751_S7_","NewHyb_BCJCxBC2JC",2.46063,"0.513; 0.364; 0.696; 0.887","NewHyb_BCJCxBC3JC",1.43886,"0.42; 0.635; 0.301; 0.082","NewHyb_BCJCxBC2JC",1,1,TRUE,0.788415,0.211585,"complexBC_JC"
"5","076776_752_S8_","NewHyb_BCJC",3.97446,"0.998; 0.976; 1; 1","NewHyb_BCJCxBCJC",0.02554,"0.002; 0.024; 0; 0","NewHyb_BCJC",4,4,TRUE,0.719671,0.280329,"NewHyb_BCJC"
"6","076778_732_S10_","NewHyb_BCJCxBC2JC",3.73473,"0.871; 0.928; 0.942; 0.995","NewHyb_BCJCxBC3JC",0.23152,"0.108; 0.072; 0.05; 0.002","NewHyb_BCJCxBC2JC",4,4,TRUE,0.841869,0.158131,"NewHyb_BCJCxBC2JC"
"7","076779_733_S11_","NewHyb_BCJCxBC3JC",2.54027,"0.584; 0.353; 0.706; 0.897","NewHyb_BC2JC",0.98422,"0.377; 0.608; 0; 0","NewHyb_BCJCxBC3JC",1,1,TRUE,0.884151,0.115849,"complexBC_JC"
"8","076780_742_S12_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"9","076781_740_S13_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999965,3.5e-05,"NewHyb_JC"
"10","076782_741_S14_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"11","076783_736_S15_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999963,3.7e-05,"NewHyb_JC"
