,index_number,LabID,JP_fastStruc_K2_JA,JP_fastStruc_K2_JC,Country,Description,latitude_dd,Longitude_dd,Canker,mapid,dbh_mm,Natural.Forest.Plantation,Situation,Sample.collection.Year,Resource
305,1762,092239_1762_S326_,0.99996,4.00E-05,USA,130-1994*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
306,1763,092240_1763_S327_,0.999964,3.60E-05,USA,133-1983*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
324,1683,092160_1683_S247_,0.486099,0.513901,USA,1975-233*A,NA,NA,N,Hoban,NA,Plantation,Unknown,2025,Leaves
329,1685,092162_1685_S249_,0.999965,3.50E-05,USA,1981-015*A,NA,NA,N,Hoban,NA,Plantation,Unknown,2025,Leaves
343,1677,092154_1677_S241_,0.434045,0.565955,USA,2015-0049-A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
344,1778,095484_1778_S351_,0.451922,0.548078,USA,2016-0084-A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
345,1709,092186_1709_S273_,0.464747,0.535253,USA,2020-00210 & 2005-01277,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
383,1761,092238_1761_S325_,0.999965,3.50E-05,USA,320-1985*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
400,1731,092208_1731_S295_,0.999962,3.80E-05,USA,44-56*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
493,1732,092209_1732_S296_,0.479179,0.520821,USA,507-56*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
589,1752,092229_1752_S316_,0.999964,3.60E-05,USA,64-59*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
596,1753,092230_1753_S317_,0.999963,3.70E-05,USA,743-58*2,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
597,1754,092231_1754_S318_,0.999964,3.60E-05,USA,743-58*3,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
600,1755,092232_1755_S319_,0.999965,3.50E-05,USA,801-57*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
602,1756,092233_1756_S320_,0.999965,3.50E-05,USA,825-50*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
603,1757,092234_1757_S321_,0.999964,3.60E-05,USA,825-50*2,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
604,1758,092235_1758_S322_,0.474214,0.525786,USA,911-59*1,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
608,1760,092237_1760_S324_,0.863113,0.136887,USA,971-0642*B,NA,NA,N,Hoban,NA,Plantation,Unknown,2025,Leaves
252,1697,092174_1697_S261_,0.999965,3.50E-05,USA,19730672,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
253,1696,092173_1696_S260_,0.999963,3.70E-05,USA,19810165,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
321,1691,092168_1691_S255_,0.999965,3.50E-05,USA,19730672 B,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
322,1694,092171_1694_S258_,0.999962,3.80E-05,USA,19730674 A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
323,1693,092170_1693_S257_,0.999963,3.70E-05,USA,19730674 C,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
330,1695,092172_1695_S259_,0.999962,3.80E-05,USA,19840112 A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
331,1690,092167_1690_S254_,0.219408,0.780592,USA,19961217 A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
317,1686,092163_1686_S250_,0.999965,3.50E-05,USA,1965-139*B,NA,NA,N,Hoban,NA,Plantation,Unknown,2025,Leaves
326,1689,092166_1689_S253_,0.999965,3.50E-05,USA,1977-436*A,NA,NA,Y,Hoban,NA,Plantation,Unknown,2025,Leaves
327,1684,092161_1684_S248_,0.487895,0.512105,USA,1977-446*A,NA,NA,N,Hoban,NA,Plantation,Unknown,2025,Leaves
328,1688,092165_1688_S252_,0.480728,0.519272,USA,1977-448*A,NA,NA,Y,Hoban,NA,Plantation,Unknown,2025,Leaves
307,1659,092136_1659_S223_,1,3.70E-05,USA,14779*A,NA,NA,,Hoban,NA,Plantation,Unknown,2025,Leaves
1,44-3-16,079365_44-3-16_S370_,0.239937,0.760063,USA,16,45.2,-90.62,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
2,44-3-22,079366_44-3-22_S371_,3.40E-05,0.999966,USA,22,NA,NA,,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
3,44-10-27,079351_44-10-27_S356_,0.409629,0.590371,USA,27,44.025648,-73.428601,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
4,44-4-34,079335_44-4-34_S340_,0.308525,0.691475,USA,34,NA,NA,,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
5,53-11-29,091122_53-11-29_S261_,0.660177,0.339823,USA,704,40.00032,-86.25027,N,HTIRC,124,Plantation with wild resources,suburban edge trees,2025,Seeds
6,51-12-30,091022_51-12-30_S161_,0.217794,0.782206,USA,707,40.00032,-86.25027,Y,HTIRC,111,Plantation with wild resources,suburban edge trees,2025,Seeds
7,53-8-29,091097_53-8-29_S236_,0.505333,0.494667,USA,803,41.64387,-85.00077,N,HTIRC,135,Plantation with wild resources,suburban edge trees,2025,Seeds
8,Germ67,087653_Germ67_S356_,0.689128,0.310872,USA,855,39.7684,-86.1581,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
9,53-8-6,091094_53-8-6_S233_,0.000134,0.999866,USA,856,44.25029,-85.50033,Y,HTIRC,152,Plantation with wild resources,City level,2025,Seeds
10,51-15-45,090990_51-15-45_S129_,3.70E-05,0.999963,USA,860,41.63914,-87.0948,Y,HTIRC,143,Plantation with wild resources,City level,2025,Seeds
11,Germ51,087637_Germ51_S340_,4.20E-05,0.999958,USA,880,41.852,-88.085,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
12,Germ23,087609_Germ23_S312_,3.70E-05,0.999963,USA,881,41.852,-88.085,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
13,Germ54,087640_Germ54_S343_,0.373142,0.626858,USA,889,41.326,-86.308,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
14,53-10-21,091113_53-10-21_S252_,0.406707,0.593293,USA,890,41.32207,-81.44516,N,HTIRC,149,Plantation with wild resources,suburban edge trees,2025,Seeds
15,Germ39,087625_Germ39_S328_,0.759791,0.240209,USA,890,41.0919,-81.559,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
16,Germ41,087627_Germ41_S330_,0.714478,0.285522,USA,892,40.0583,-74.4057,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
17,Germ22,087608_Germ22_S311_,3.70E-05,0.999963,USA,893,42.68,-89.62,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
18,Germ17,087603_Germ17_S306_,0.110261,0.889739,USA,894,37.8393,-84.27,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
19,Germ42,087628_Germ42_S331_,0.308643,0.691357,USA,895,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
20,Germ33,087619_Germ33_S322_,0.273842,0.726158,USA,896,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
21,Germ53,087639_Germ53_S342_,0.000574,0.999426,USA,897,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
22,Germ19,087605_Germ19_S308_,0.233336,0.766664,USA,900,40.4173,-82.9071,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
23,Germ43,087629_Germ43_S332_,4.20E-05,0.999958,USA,901,39.3373,-83.057,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
24,Germ21,087607_Germ21_S310_,0.233958,0.766042,USA,902,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
25,Germ52,087638_Germ52_S341_,0.237704,0.762296,USA,903,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
26,Germ44,087630_Germ44_S333_,0.396593,0.603407,USA,905,38.8039,-82.992,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
27,Germ20,087606_Germ20_S309_,3.90E-05,0.999961,USA,906,38.8039,-82.992,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
28,Germ18,087604_Germ18_S307_,3.70E-05,0.999963,USA,907,38.8039,-82.992,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
29,Germ38,087624_Germ38_S327_,0.475392,0.524608,USA,908,40.3885,-86.8935,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
30,Germ40,087626_Germ40_S329_,4.50E-05,0.999955,USA,913,44.5,-89.5,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
31,Germ31,087617_Germ31_S320_,0.567839,0.432161,USA,915,40.0583,-74.4057,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
32,Germ32,087618_Germ32_S321_,0.268319,0.731681,USA,989,40.3885,-86.8935,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
33,Germ24,087610_Germ24_S313_,3.40E-05,0.999966,USA,992,41.2033,-77.1945,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
34,53-5-24,091077_53-5-24_S216_,0.41376,0.58624,USA,999,39.52369,-85.7917,N,HTIRC,165,Plantation with wild resources,suburban edge trees,2025,Seeds
35,Germ10,087596_Germ10_S299_,3.60E-05,0.999964,USA,1026,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
36,Germ12,087598_Germ12_S301_,3.60E-05,0.999964,USA,1027,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
