SampleID,SiteNumber,Aziz_descrip,location,LabID,SampleNumber,SampleNumber2,FromWhatSpreadsheet,FromWhatSpreadsheet_notes,Latitude,Longitude,SiteOwner,DateSampled,PlantHeight_ft,DBH_cm,ProducingSeed,PercentLiveCanopy,EpicormicBranches_FromBase,EpicormicBranches_FromTrunk,VisibleCankers,Calloused_YN,AreaInfectedByCanker_Trunk_perc,AreaInfectedByCanker_RootFlare_prec,InfectionSeverity,TerminalBudShape,BudScarShape,LenticalShape,FruitsPerBunch,Seedling_YN
A_DelValle_1,,A_DelValle_1,,,,,2025 Wild Collected Butternut DNA Leaf Samples ,additional samples from 2025 that NO health data was collected for,41.789191,-88.024163,Forest Preserve District of DuPage County,,,,,,,,,,,,,,,,,
A_DelValle_2,,A_DelValle_2,,,,,2025 Wild Collected Butternut DNA Leaf Samples ,additional samples from 2025 that NO health data was collected for,41.801761,-88.183716,Forest Preserve District of DuPage County,,,,,,,,,,,,,,,,,
A_DelValle_3,,A_DelValle_3,,,,,2025 Wild Collected Butternut DNA Leaf Samples ,additional samples from 2025 that NO health data was collected for,41.81535,-87.947766,Forest Preserve District of DuPage County,,,,,,,,,,,,,,,,,
A_DelValle_4,,A_DelValle_4,,,,,2025 Wild Collected Butternut DNA Leaf Samples ,additional samples from 2025 that NO health data was collected for,41.81541,-87.94737,Forest Preserve District of DuPage County,,,,,,,,,,,,,,,,,
A_DelValle_5,,A_DelValle_5,,,,,2025 Wild Collected Butternut DNA Leaf Samples ,additional samples from 2025 that NO health data was collected for,41.81556,-87.947261,Forest Preserve District of DuPage County,,,,,,,,,,,,,,,,,
JC-W-CPVT-001,CPVT,CP001,,,1,1,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332552,-73.24853,,7/11/2025,1.66,,,100,0,0,Y,N,2,0,1,NA,0,0,,Y
JC-W-CPVT-002,CPVT,CP002,,,2,2,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.33254,-73.248496,,7/11/2025,2,,,100,0,0,Y,NA,5,0,1,NA,Unsure,Unsure,,Y
JC-W-CPVT-3,CPVT,CP003,,,3,3,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332469,-73.248357,,7/11/2025,1.416,,,100,0,0,N,,,,,NA,0,0,,Y
JC-W-CPVT-004,CPVT,CP004,,,4,4,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332468,-73.24831,,7/11/2025,1.13,,,85,0,0,Y,NA,5,0,1,NA,Unsure,0,,Y
JC-W-CPVT-5,CPVT,CP005,,,5,5,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.33248,-73.248492,,7/11/2025,1.5,,,100,0,0,N,,,,,NA,Unsure,Unsure,,Y
JC-W-CPVT-7,CPVT,CP006,,,7,7,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332467,-73.248187,,7/11/2025,1.375,,,100,0,0,Y,N,3,0,1,NA,Unsure,Unsure,,Y
JC-W-CPVT-006,CPVT,CP007,,,6,6,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332475,-73.248155,,7/11/2025,2.916667,,,90,0,0,N,,,,,NA,0,0,,Y
JC-W-CPVT-8,CPVT,CP008,,,8,8,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332522,-73.248183,,7/11/2025,1.75,,,100,0,0,N,,,,,NA,0,0,,Y
JC-W-CPVT-009,CPVT,CP009,,,9,9,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332649,-73.248044,,7/11/2025,0.9,,,100,0,0,N,,,,,NA,0,0,,Y
JC-W-CPVT-10,CPVT,CP010,,,10,10,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332592,-73.24815,,7/11/2025,1.416,,,100,0,0,N,,,,,NA,Unsure,0,,Y
JC-W-CPVT-011,CPVT,CP011,,,11,11,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332612,-73.246873,,7/11/2025,1.5,,,100,0,0,Y,N,25,0,1,NA,Unsure,0,,Y
JC-W-CPVT-012,CPVT,CP012,,,12,12,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332549,-73.246886,,7/11/2025,1.25,,,95,0,0,N,,,,,NA,0,0,,Y
JC-W-CPVT-13,CPVT,CP013,,,13,13,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.33266,-73.246964,,7/11/2025,3.333,,,100,0,0,Y,N,5,0,1,NA,0,0,,Y
JC-W-CPVT-15,CPVT,CP014,,,15,15,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332606,-73.247002,,7/11/2025,0.916,,,100,0,0,N,,,,,NA,Unsure,Unsure,,Y
JC-W-Cpvt-014,Cpvt,CP015,,,14,14,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332583,-73.24696,,7/11/2025,1.16667,,,100,0,0,Y,N,0,30,1,NA,0,0,,Y
JC-W-CPVT-16,CPVT,CP016,,,16,16,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.33205,-73.249041,,7/11/2025,65,48.5,No,75,0,0,Y,Y,5,40,2.5,NA,Unsure,Unsure,,N
JC-W-CPVT-017,CPVT,CP017,,,17,17,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332155,-73.249322,,7/11/2025,50.2,46,Y,95,0,0,Y,Y,25,40,2,NA,Unsure,Unsure,,N
JC-W-CPVT-18,CPVT,CP018,,,18,18,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.331979,-73.248857,,7/11/2025,59.71,36.5,Y,90,0,2,Y,Y,5,40,1.5,NA,Unsure,Unsure,,N
JC-W-CPVT-19,CPVT,CP019,,,19,19,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.331987,-73.249063,,7/11/2025,48.5,40.1,No,20,1,4,Y,Y,5,70,3.5,NA,Unsure,0,,N
JC-W-CPVT-20,CPVT,CP020,,,20,20,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332089,-73.248663,,7/11/2025,45.6,43.2,Y,40,0,2,Y,Y,35,85,3,NA,Unsure,0,,N
JC-W-CPVT-21,CPVT,CP021,,,21,21,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332258,-73.248667,,7/11/2025,62,20.5,Y,85,0,0,Y,Y,15,45,2.5,NA,0,0,,N
JC-W-CPVT-22,CPVT,CP022,,,22,22,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332326,-73.248291,,7/11/2025,41.99,31.2 cm,Y,100,0,0,Y,Y,5,20,1.5,0,0,0,,N
JC-W-CPVT-23,CPVT,CP023,,,23,23,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332155,-73.247855,,7/11/2025,61,37,No,85,0,0,Y,Y,20,40,2,NA,Unsure,Unsure,,N
JC-W-CPVT-24,CPVT,CP024,,,24,24,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.331853,-73.247276,,7/11/2025,69,39.5,Unknown (unable to see),75,0,4,Y,Y,30,60,2.5,NA,Unsure,Unsure,,N
JC-W-CPVT-25,CPVT,CP025,,,25,25,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.331836,-73.24711,,7/11/2025,66.28,49.5,Unknown (unable to see),65,0,0,Y,Y,30,80,3.5,NA,Unsure,Unsure,,N
JC-W-CPVT-26,CPVT,CP026,,,26,26,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.332526,-73.246651,,7/11/2025,53,76.5,No,95,0,0,Y,Y,5,2,2,NA,1,0,,N
JC-W-CPVT-27,CPVT,CP027,,,27,27,2025_June_July_Butternut_Health_Assessment_Form_Responses,longer health protocol from 2025 (june and july assessments),44.331664,-73.24672,,7/11/2025,62.34,53.2,No,2,0,0,Y,Y,36,75,4.5,NA,Unsure,Unsure,,N
JC-W-CPVT-28,CPVT,CP028,,,28,28,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33208,-73.24714,,8/27/2025,70.3,53.3,No,95,N,Y,Y,Y,0,15,1,,,,,N
JC-W-CPVT-29,CPVT,CP029,,,29,29,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3323,-73.24713,,8/27/2025,73.9,"43.6, 30.7",No,55,N,Y,Y,Y,20,60,2,,,,,N
JC-W-CPVT-30,CPVT,CP030,,,30,30,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3324,-73.24667,,8/27/2025,66.8,42.5,Yes,95,N,Y,Y,Y,5,10,1.5,,,,5,N
JC-W-CPVT-31,CPVT,CP031,,,31,31,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33262,-73.24793,,8/28/2025,2.2,,,,,,N,,,,,0,0,0,,Y
JC-W-CPVT-32,CPVT,CP032,,,32,32,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33262,-73.24791,,8/28/2025,1.6,,,,,,Y,N,,,,0,0,0,,Y
