SAMPLE ID,COLLECTION ID,Source,COLLECTOR,SUSPECTED SPECIES,PLACE COLLECTED,DATE COLLECTED,SUPP VARIETY,NEWHYBR,SSR p(JC),SSR p(JA),CAPS 2,CAPS 5,CAPS 7,CAPS 10,CAPS ALL,GPS 1,GPS 2,UTM ,X,Y,ELEVATION,DBH (in),HEIGHT (ft),# BOLE CANKERS,CROWN DIAM (ft),CROWN RATIO,CROWN DIEBACK (%),SLOPE,ASPECT,CANKER SCORE,NUTS ON GROUND,NOTES,NOTES 2,ALTERNATE COLLECTOR ID,ALTERNATE COLLECTOR ID 2,Date Extracted,Date ND'd/ Diluted,New Mass DNA,Old Mass DNA,,,,,
,"Added in GMNF sites, rearranged columns, added in GMNF info, Added in Shenandoah and Finger Lakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
JA1001,CBG009,Garden,Chicago Botanical Garden,J. cordiformis,,11/28/2005,Schubert,probablyJA,0.008,0.992,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,42.14766916,-87.7899456,,,,,,,,,,,,,,,"location of botanic garden, approximated from google",Japanese Walnut,,,,5/28/2009,292,0,,,,,
JA1002,CBG001,Garden,Chicago Botanical Garden,J. ailantifolia var. cordiformis,,11/28/2005,Fodermier,JA,0.004,0.996,A (Dec 14),,,A (Mar 27),A A ,42.14766916,-87.7899456,,,,,,,,,,,,,,,"location of botanic garden, approximated from google",Heartnut,,,,,470.2,0,,,,,
JA1003,DJUG0001.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia var. cordiformis,Japan,2/21/2006,unknown,probablyJA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,250,186.7,,,,,
JA1004,DJUG0002.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,2/21/2006,unknown,probablyJA,0.005,0.995,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,44,160,,,,,
JA1005,DJUG0003.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,2/21/2006,unknown,probablyJA,0.053,0.947,A (Dec 14),,A (Dec 10),A (Dec 10),A A A ,,,,,,,,,,,,,,,,,,,,,,,156.32,189.09,,,,,
JA1006,DJUG0004.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia var. cordiformis,Japan,2/21/2006,unknown,probablyJA,,,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,373.65,"305.22, 358.19",,,,,
JA1007,DJUG0005.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,2/21/2006,unknown,JA,0.005,0.995,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,212.88,"304.00, 382.02",,,,,
JA1008,DJUG0007.3,Garden,UCDavis (Germplasm Repository),J. ailantifolia var. cordiformis,Japan,2/21/2006,unknown,probablyJA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,205,"169.84, 387.46",,,,,
JA1009,DJUG0061.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,2/21/2006,unknown,JA,0.016,0.984,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,201.99,149.2,,,,,
