ID,pop,B112,B112,B114,B114,B159,B159,WGA,WGA,A5_2,A5_2,B157,B157,B212_2,B212_2,B121,B121,B147,B147,B249,B249,B262,B262,B264,B264
1496,1,-9,-9,248,270,128,128,167,171,-9,-9,160,160,217,225,171,183,-9,-9,169,177,320,344,221,239
1498,1,280,280,278,278,130,148,159,163,207,217,160,166,231,235,163,163,335,335,169,191,330,330,227,237
1499,1,280,290,278,278,130,148,159,163,209,217,166,166,231,235,163,163,-9,-9,169,191,330,344,237,237
1500,1,280,282,270,276,124,154,163,163,207,207,160,168,215,215,189,193,327,337,169,187,318,318,235,235
1501,1,280,288,248,254,128,150,163,175,207,209,160,166,219,261,181,187,333,335,183,191,318,320,227,239
1502,1,-9,-9,254,270,126,134,163,165,-9,-9,157,160,-9,-9,187,189,327,339,169,191,318,328,229,235
1503,1,280,286,248,270,126,150,163,163,207,207,160,166,-9,-9,187,187,327,333,169,169,318,318,235,237
1504,1,-9,-9,254,288,104,134,161,171,203,207,160,166,215,261,183,185,327,335,185,191,318,332,221,221
1505,1,-9,-9,-9,-9,106,106,163,175,207,207,160,160,217,217,171,185,327,335,169,183,-9,-9,-9,-9
1506,1,279,280,248,252,128,128,163,163,207,207,160,160,-9,-9,187,189,333,333,185,187,318,342,223,235
1507,1,-9,-9,260,268,120,124,165,165,-9,-9,157,162,215,219,171,189,327,331,187,191,318,356,235,239
1509,1,280,280,248,254,104,122,161,167,207,207,166,166,215,219,183,193,327,331,169,187,318,318,233,233
1510,1,280,290,248,276,128,128,165,171,205,205,160,160,225,227,187,187,335,339,185,191,330,340,235,237
1511,1,280,280,274,278,122,128,159,165,207,207,160,160,215,227,171,171,335,339,169,189,334,336,241,241
1512,1,280,280,260,262,115,128,167,171,211,211,160,166,225,265,187,189,327,339,169,183,326,340,227,227
1513,1,290,290,276,284,128,128,171,177,205,205,160,160,-9,-9,187,187,335,339,185,189,318,338,235,235
1514,1,-9,-9,248,248,128,136,159,171,207,207,160,164,215,217,163,189,327,339,177,183,318,326,223,239
1515,1,-9,-9,248,256,104,128,163,171,207,207,164,168,213,217,187,187,-9,-9,181,183,332,338,235,237
1516,1,280,280,272,280,104,104,163,165,205,209,157,166,219,223,177,185,339,339,169,169,328,334,215,237
1517,1,279,280,248,268,104,104,165,171,207,209,166,166,215,229,187,187,337,339,183,185,318,326,235,235
1518,1,-9,-9,280,290,122,128,161,161,207,207,160,166,229,229,183,193,339,339,169,191,316,330,227,237
1519,1,280,290,260,268,104,144,161,163,211,217,160,166,221,233,173,173,327,335,169,169,334,356,221,233
1520,1,288,290,248,258,104,124,159,163,207,207,160,160,229,265,177,189,335,339,169,183,316,334,237,237
1521,1,280,290,272,272,106,124,163,165,207,211,157,160,229,249,187,187,335,339,187,189,326,344,241,241
1522,1,280,290,272,272,128,128,165,165,-9,-9,160,160,229,229,177,187,327,339,183,187,318,326,-9,-9
1523,1,280,282,248,248,104,128,171,171,207,207,160,160,227,233,177,187,333,335,169,169,318,318,223,237
1524,1,279,290,260,276,124,136,163,171,-9,-9,-9,-9,-9,-9,171,183,333,333,169,183,318,318,223,235
1525,1,280,290,260,272,124,124,171,171,207,211,160,160,221,227,187,187,327,333,183,187,318,338,235,237
1526,1,-9,-9,248,280,122,130,163,171,199,211,160,160,215,217,181,187,335,339,187,189,318,330,235,235
1527,1,-9,-9,260,280,104,124,161,163,207,207,160,160,223,225,171,175,333,333,169,187,318,338,223,223
1528,1,280,290,248,262,106,154,163,175,207,207,164,166,217,219,187,187,-9,-9,169,183,318,318,221,235
1529,1,280,290,262,262,106,128,165,175,207,207,160,164,217,237,185,187,327,335,183,183,318,334,235,247
