"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"1","076770_748_S2_","NewHyb_BCxBC",3.99477,"0.995; 1; 1; 1","NewHyb_BC3JAxBC2JC",0.00451,"0.005; 0; 0; 0","NewHyb_BCxBC",4,4,TRUE,0.498281,0.501719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewHyb_BCxBC"
"2","076771_749_S3_","NewHyb_BCxBC",3.91355,"0.999; 1; 0.915; 1","NewHyb_F1",0.08541,"0; 0; 0.085; 0","NewHyb_BCxBC",4,4,TRUE,0.47551,0.52449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewHyb_BCxBC"
"3","076774_750_S6_","NewHyb_BCJC",1.88283,"0.008; 0.994; 0.828; 0.053","NewHyb_BCJCxBCJC",0.95007,"0.094; 0.005; 0.116; 0.734","NewHyb_BCJC",2,2,TRUE,0.222274,0.777726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"4","076775_751_S7_","NewHyb_BCJCxBC2JC",2.46063,"0.513; 0.364; 0.696; 0.887","NewHyb_BCJCxBC3JC",1.43886,"0.42; 0.635; 0.301; 0.082","NewHyb_BCJCxBC2JC",1,1,TRUE,0.211585,0.788415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"5","076776_752_S8_","NewHyb_BCJC",3.97446,"0.998; 0.976; 1; 1","NewHyb_BCJCxBCJC",0.02554,"0.002; 0.024; 0; 0","NewHyb_BCJC",4,4,TRUE,0.280329,0.719671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewHyb_BCJC"
"6","076778_732_S10_","NewHyb_BCJCxBC2JC",3.73473,"0.871; 0.928; 0.942; 0.995","NewHyb_BCJCxBC3JC",0.23152,"0.108; 0.072; 0.05; 0.002","NewHyb_BCJCxBC2JC",4,4,TRUE,0.158131,0.841869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewHyb_BCJCxBC2JC"
"7","076779_733_S11_","NewHyb_BCJCxBC3JC",2.54027,"0.584; 0.353; 0.706; 0.897","NewHyb_BC2JC",0.98422,"0.377; 0.608; 0; 0","NewHyb_BCJCxBC3JC",1,1,TRUE,0.115849,0.884151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"8","076780_742_S12_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.4e-05,0.999966,"JC",0.998652,0.001348,0.03143,0.968545,2.5e-05,0.026062,1.6e-05,0.973906,1.6e-05,1.2e-05,0.751492,1.2e-05,1.2e-05,0.248471,"NewHyb_JC"
"9","076781_740_S13_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.5e-05,0.999965,"JC",0.999799,0.000201,2.5e-05,0.969179,0.030795,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.895077,1.2e-05,1.2e-05,0.104886,"NewHyb_JC"
"10","076782_741_S14_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.4e-05,0.999966,"JC",0.997268,0.002732,0.032413,0.964046,0.003541,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"NewHyb_JC"
