"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"1","076770_748_S2_","BCJCxBCJA",4.99884,"1; 1; 1; 1; 0.999","BC3JAxBC2JC",0.00091,"0; 0; 0; 0; 0.001","BCJCxBCJA",5,5,TRUE,0.498281,0.501719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2","076771_749_S3_","BCJCxBCJA",4.78875,"1; 0.94; 0.861; 0.989; 1","F1",0.19983,"0; 0.06; 0.14; 0; 0","BCJCxBCJA",5,5,TRUE,0.47551,0.52449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"3","076774_750_S6_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.222274,0.777726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"4","076775_751_S7_","F2xBCJC",4.99999,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.211585,0.788415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"5","076776_752_S8_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.280329,0.719671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"6","076778_732_S10_","BCJCxBC2JC",3.07075,"0.758; 0.275; 0.953; 0.785; 0.3","BCJCxBC3JC",1.41407,"0.203; 0.703; 0.011; 0.201; 0.296","BCJCxBC2JC",3,3,TRUE,0.158131,0.841869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC2JC"
"7","076779_733_S11_","BCJCxBC3JC",3.33277,"0.941; 0.764; 0.765; 0.721; 0.143","BC2JCxBC3JC",1.0062,"0.026; 0.048; 0.033; 0.241; 0.658","BCJCxBC3JC",3,3,TRUE,0.115849,0.884151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC3JC"
"8","076780_742_S12_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.998652,0.001348,0.03143,0.968545,2.5e-05,0.026062,1.6e-05,0.973906,1.6e-05,1.2e-05,0.751492,1.2e-05,1.2e-05,0.248471,"JC"
"9","076781_740_S13_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.999799,0.000201,2.5e-05,0.969179,0.030795,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.895077,1.2e-05,1.2e-05,0.104886,"JC"
"10","076782_741_S14_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.997268,0.002732,0.032413,0.964046,0.003541,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"11","076783_736_S15_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999705,0.000295,0.022344,0.977631,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.283893,1.2e-05,0.117249,1.2e-05,0.598834,"JC"
"12","076784_729_S16_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999839,0.000161,2.5e-05,0.999949,2.5e-05,0.897959,0.102009,1.6e-05,1.6e-05,1.2e-05,0.030868,1.2e-05,1.2e-05,0.969095,"JC"
"13","076785_738_S17_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99972,0.00028,2.2e-05,0.999953,2.5e-05,0.029239,1.6e-05,0.970729,1.6e-05,1.2e-05,0.718947,1.2e-05,1.2e-05,0.281016,"JC"
"14","076788_735_S20_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.9e-05,0.999961,0.991077,0.008923,0.054933,0.831133,0.113934,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.867807,1.2e-05,1.2e-05,0.132156,"JC"
"15","076789_731_S21_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.979037,0.020963,0.060092,0.939882,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"16","076790_726_S22_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.993915,0.006085,0.050738,0.92987,0.019392,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"17","076791_737_S23_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.993467,0.006533,0.047445,0.95253,2.5e-05,0.096666,1.6e-05,0.903301,1.6e-05,1.2e-05,0.679634,1.2e-05,1.2e-05,0.320329,"JC"
"18","076793_743_S25_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999821,0.000179,2.5e-05,0.983366,0.016609,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.997931,1.2e-05,1.2e-05,0.002032,"JC"
"19","076794_739_S26_","F1",3.20101,"1; 0.008; 1; 0.24; 0.954","BCJCxBCJA",1.79892,"0; 0.992; 0; 0.76; 0.046","F1",3,5,TRUE,0.478573,0.521427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1"
"20","076795_727_S27_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999832,0.000168,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.205031,1.2e-05,1.2e-05,1.2e-05,0.794932,"JC"
