"","ID","z","index"
"1","1496",NA,"1"
"2","1498",NA,"2"
"3","1499",NA,"3"
"4","1500",NA,"4"
"5","1501",NA,"5"
"6","1502",NA,"6"
"7","1503",NA,"7"
"8","1504",NA,"8"
"9","1505",NA,"9"
"10","1506","z0","10"
"11","1507",NA,"11"
"12","1509",NA,"12"
"13","1510","z0","13"
"14","1511",NA,"14"
"15","1512",NA,"15"
"16","1513","z0","16"
"17","1514",NA,"17"
"18","1515",NA,"18"
"19","1516",NA,"19"
"20","1517","z0","20"
"21","1518",NA,"21"
"22","1519",NA,"22"
"23","1520","z0","23"
"24","1521","z0","24"
"25","1522",NA,"25"
"26","1523",NA,"26"
"27","1524",NA,"27"
"28","1525",NA,"28"
"29","1526","z0","29"
"30","1527",NA,"30"
"31","1528",NA,"31"
"32","1529",NA,"32"
"33","1530","z0","33"
"34","1531",NA,"34"
"35","1532","z0","35"
"36","1533","z0","36"
"37","1535",NA,"37"
"38","1536",NA,"38"
"39","1011","z0","39"
"40","1012","z0","40"
"41","1014",NA,"41"
"42","1015",NA,"42"
"43","1016",NA,"43"
"44","1017",NA,"44"
"45","1018","z0","45"
"46","1019",NA,"46"
"47","1020",NA,"47"
"48","1026",NA,"48"
"49","1027",NA,"49"
"50","1028","z0","50"
"51","1041","z0","51"
"52","1042",NA,"52"
"53","1046",NA,"53"
"54","1047","z0","54"
"55","1048",NA,"55"
"56","1049",NA,"56"
"57","1050",NA,"57"
"58","1051","z0","58"
"59","1052",NA,"59"
"60","1053",NA,"60"
"61","1054",NA,"61"
"62","1055",NA,"62"
"63","1056",NA,"63"
"64","1057","z0","64"
"65","1037",NA,"65"
"66","1038",NA,"66"
"67","1039","z0","67"
"68","1040",NA,"68"
"69","1044","z0","69"
"70","1045",NA,"70"
"71","1068",NA,"71"
"72","1069","z0","72"
"73","1070","z0","73"
"74","1071",NA,"74"
"75","1072",NA,"75"
"76","1073",NA,"76"
"77","1075","z0","77"
"78","1076",NA,"78"
"79","1077","z0","79"
"80","1078",NA,"80"
"81","1079",NA,"81"
"82","1080",NA,"82"
"83","1081",NA,"83"
"84","1082","z0","84"
"85","1083",NA,"85"
"86","1084",NA,"86"
"87","1085","z0","87"
"88","1023",NA,"88"
"89","1024",NA,"89"
"90","1025","z0","90"
"91","1029","z0","91"
"92","1030","z0","92"
"93","1031","z0","93"
"94","1032",NA,"94"
"95","1033",NA,"95"
"96","1034","z0","96"
"97","1035","z0","97"
"98","1036","z0","98"
"99","1060",NA,"99"
"100","1061",NA,"100"
"101","1062","z0","101"
"102","1063",NA,"102"
"103","1064",NA,"103"
"104","1065","z0","104"
"105","1066",NA,"105"
"106","1067",NA,"106"
"107","1007",NA,"107"
"108","1008",NA,"108"
"109","1009",NA,"109"
"110","1446",NA,"110"
"111","1447",NA,"111"
"112","1448","z0","112"
"113","1449",NA,"113"
"114","1450",NA,"114"
"115","1451","z0","115"
"116","1452",NA,"116"
"117","1453","z0","117"
"118","1454","z0","118"
"119","1455",NA,"119"
"120","1456",NA,"120"
"121","1458","z0","121"
"122","1463",NA,"122"
"123","1464","z0","123"
"124","1465",NA,"124"
"125","1466","z0","125"
"126","1467",NA,"126"
"127","1468",NA,"127"
"128","1469",NA,"128"
"129","1470",NA,"129"
"130","1471",NA,"130"
"131","1472",NA,"131"
"132","1473",NA,"132"
"133","1474","z0","133"
"134","1475",NA,"134"
"135","1476",NA,"135"
"136","1477",NA,"136"
"137","1479",NA,"137"
"138","1480",NA,"138"
"139","1481",NA,"139"
"140","1482",NA,"140"
"141","1483",NA,"141"
"142","1484",NA,"142"
"143","1485",NA,"143"
"144","1486",NA,"144"
"145","1487",NA,"145"
"146","1488",NA,"146"
"147","1489",NA,"147"
"148","1490",NA,"148"
"149","1491",NA,"149"
"150","1492",NA,"150"
"151","1058",NA,"151"
"152","1059","z0","152"
"153","1087",NA,"153"
"154","1088",NA,"154"
"155","1089","z0","155"
"156","1090","z0","156"
"157","1091","z0","157"
"158","1092","z0","158"
"159","1093",NA,"159"
"160","1003","z0","160"
"161","1004",NA,"161"
"162","1005",NA,"162"
"163","1006",NA,"163"
"164","1445","z0","164"
"165","1457",NA,"165"
"166","1459",NA,"166"
"167","1460",NA,"167"
"168","1461","z0","168"
"169","1462","z0","169"
"170","1198",NA,"170"
"171","1199",NA,"171"
"172","1200","z0","172"
"173","1201",NA,"173"
"174","1202",NA,"174"
