50000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875	0.938/0.031/0.031/0.000	0.000/0.031/0.031/0.938	0.969/0.016/0.016/0.000	0.000/0.016/0.016/0.969	0.984/0.008/0.008/0.000	0.000/0.008/0.008/0.984	0.879/0.059/0.059/0.004	0.820/0.086/0.086/0.008	0.766/0.109/0.109/0.016	0.703/0.141/0.141/0.016	0.656/0.156/0.156/0.031	0.562/0.188/0.188/0.062	0.004/0.059/0.059/0.879	0.008/0.086/0.086/0.820	0.016/0.109/0.109/0.766	0.016/0.141/0.141/0.703	0.031/0.156/0.156/0.656	0.062/0.188/0.188/0.562	0.059/0.441/0.441/0.059	0.117/0.414/0.414/0.055	0.055/0.414/0.414/0.117
1	NoName	0.98090	0.00000	0.00000	0.00003	0.00175	0.00000	0.00009	0.00000	0.00035	0.00000	0.00042	0.00000	0.00026	0.00000	0.00016	0.00000	0.00548	0.00568	0.00407	0.00040	0.00031	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	0.00525	0.00000	0.00000	0.00478	0.00047	0.00000	0.00003	0.00000	0.00014	0.00000	0.00007	0.00000	0.00003	0.00000	0.00001	0.00000	0.21996	0.32490	0.33882	0.04045	0.04552	0.01956	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
3	NoName	0.00471	0.00000	0.00000	0.00758	0.00058	0.00000	0.00003	0.00000	0.00013	0.00000	0.00007	0.00000	0.00003	0.00000	0.00001	0.00000	0.21668	0.32272	0.33840	0.04104	0.04672	0.02128	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
4	NoName	0.98047	0.00000	0.00000	0.00001	0.00187	0.00000	0.00010	0.00000	0.00037	0.00000	0.00044	0.00000	0.00027	0.00000	0.00017	0.00000	0.00571	0.00585	0.00399	0.00039	0.00028	0.00007	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
5	NoName	0.99024	0.00000	0.00000	0.00000	0.00024	0.00000	0.00004	0.00000	0.00023	0.00000	0.00034	0.00000	0.00024	0.00000	0.00016	0.00000	0.00358	0.00298	0.00172	0.00013	0.00008	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.91514	0.00000	0.00000	0.00110	0.02385	0.00000	0.00044	0.00000	0.00089	0.00000	0.00071	0.00000	0.00034	0.00000	0.00018	0.00000	0.01386	0.01964	0.01832	0.00235	0.00219	0.00098	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
7	NoName	0.90760	0.00000	0.00000	0.00102	0.01301	0.00000	0.00038	0.00000	0.00090	0.00000	0.00075	0.00000	0.00035	0.00000	0.00019	0.00000	0.01753	0.02544	0.02560	0.00284	0.00297	0.00142	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
8	NoName	0.98779	0.00000	0.00000	0.00000	0.00068	0.00000	0.00006	0.00000	0.00027	0.00000	0.00037	0.00000	0.00024	0.00000	0.00016	0.00000	0.00409	0.00370	0.00228	0.00020	0.00013	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
9	NoName	0.98321	0.00000	0.00000	0.00002	0.00177	0.00000	0.00008	0.00000	0.00032	0.00000	0.00040	0.00000	0.00025	0.00000	0.00016	0.00000	0.00490	0.00489	0.00335	0.00033	0.00024	0.00007	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
10	NoName	0.99444	0.00000	0.00000	0.00000	0.00007	0.00000	0.00002	0.00000	0.00014	0.00000	0.00026	0.00000	0.00021	0.00000	0.00015	0.00000	0.00226	0.00158	0.00078	0.00005	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
11	NoName	0.98864	0.00000	0.00000	0.00000	0.00052	0.00000	0.00005	0.00000	0.00025	0.00000	0.00036	0.00000	0.00024	0.00000	0.00016	0.00000	0.00391	0.00345	0.00209	0.00018	0.00012	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	NoName	0.98946	0.00000	0.00000	0.00000	0.00041	0.00000	0.00004	0.00000	0.00024	0.00000	0.00035	0.00000	0.00024	0.00000	0.00016	0.00000	0.00373	0.00321	0.00189	0.00016	0.00010	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
13	NoName	0.99463	0.00000	0.00000	0.00000	0.00006	0.00000	0.00002	0.00000	0.00014	0.00000	0.00026	0.00000	0.00020	0.00000	0.00015	0.00000	0.00220	0.00152	0.00074	0.00005	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
14	NoName	0.99510	0.00000	0.00000	0.00000	0.00005	0.00000	0.00001	0.00000	0.00013	0.00000	0.00025	0.00000	0.00020	0.00000	0.00014	0.00000	0.00205	0.00136	0.00064	0.00004	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.98877	0.00000	0.00000	0.00000	0.00051	0.00000	0.00005	0.00000	0.00025	0.00000	0.00036	0.00000	0.00024	0.00000	0.00016	0.00000	0.00389	0.00342	0.00205	0.00017	0.00011	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
16	NoName	0.99424	0.00000	0.00000	0.00000	0.00008	0.00000	0.00002	0.00000	0.00015	0.00000	0.00027	0.00000	0.00021	0.00000	0.00015	0.00000	0.00232	0.00165	0.00083	0.00006	0.00003	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
17	NoName	0.03107	0.00000	0.00000	0.00621	0.42059	0.00000	0.00539	0.00000	0.00743	0.00000	0.00381	0.00000	0.00106	0.00000	0.00032	0.00000	0.10618	0.17489	0.17971	0.02677	0.02547	0.01089	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00015	0.00000
18	NoName	0.99400	0.00000	0.00000	0.00000	0.00010	0.00000	0.00002	0.00000	0.00015	0.00000	0.00027	0.00000	0.00021	0.00000	0.00015	0.00000	0.00239	0.00173	0.00088	0.00006	0.00004	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
19	NoName	0.98139	0.00000	0.00000	0.00001	0.00142	0.00000	0.00008	0.00000	0.00035	0.00000	0.00045	0.00000	0.00027	0.00000	0.00017	0.00000	0.00585	0.00577	0.00358	0.00036	0.00024	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20	NoName	0.99493	0.00000	0.00000	0.00000	0.00005	0.00000	0.00001	0.00000	0.00013	0.00000	0.00026	0.00000	0.00020	0.00000	0.00015	0.00000	0.00210	0.00142	0.00068	0.00004	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	NoName	0.99265	0.00000	0.00000	0.00000	0.00020	0.00000	0.00003	0.00000	0.00018	0.00000	0.00029	0.00000	0.00022	0.00000	0.00015	0.00000	0.00277	0.00216	0.00120	0.00009	0.00006	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
22	NoName	0.96464	0.00000	0.00000	0.00001	0.00396	0.00000	0.00020	0.00000	0.00063	0.00000	0.00063	0.00000	0.00032	0.00000	0.00018	0.00000	0.00941	0.01071	0.00778	0.00079	0.00058	0.00015	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
23	NoName	0.99468	0.00000	0.00000	0.00000	0.00006	0.00000	0.00002	0.00000	0.00014	0.00000	0.00026	0.00000	0.00020	0.00000	0.00015	0.00000	0.00218	0.00150	0.00073	0.00005	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
24	NoName	0.99521	0.00000	0.00000	0.00000	0.00004	0.00000	0.00001	0.00000	0.00013	0.00000	0.00025	0.00000	0.00020	0.00000	0.00014	0.00000	0.00202	0.00132	0.00062	0.00004	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	NoName	0.98282	0.00000	0.00000	0.00002	0.00184	0.00000	0.00008	0.00000	0.00033	0.00000	0.00040	0.00000	0.00025	0.00000	0.00016	0.00000	0.00497	0.00499	0.00345	0.00034	0.00026	0.00008	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	NoName	0.99383	0.00000	0.00000	0.00000	0.00010	0.00000	0.00002	0.00000	0.00015	0.00000	0.00028	0.00000	0.00021	0.00000	0.00015	0.00000	0.00245	0.00178	0.00092	0.00006	0.00004	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
27	NoName	0.98998	0.00000	0.00000	0.00001	0.00057	0.00000	0.00004	0.00000	0.00022	0.00000	0.00032	0.00000	0.00023	0.00000	0.00015	0.00000	0.00340	0.00296	0.00182	0.00016	0.00011	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.99125	0.00000	0.00000	0.00000	0.00023	0.00000	0.00003	0.00000	0.00021	0.00000	0.00033	0.00000	0.00023	0.00000	0.00016	0.00000	0.00328	0.00264	0.00145	0.00011	0.00007	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
29	NoName	0.99430	0.00000	0.00000	0.00000	0.00007	0.00000	0.00002	0.00000	0.00015	0.00000	0.00027	0.00000	0.00021	0.00000	0.00015	0.00000	0.00230	0.00163	0.00081	0.00005	0.00003	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	0.99413	0.00000	0.00000	0.00000	0.00009	0.00000	0.00002	0.00000	0.00015	0.00000	0.00027	0.00000	0.00021	0.00000	0.00015	0.00000	0.00235	0.00168	0.00085	0.00006	0.00003	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
31	NoName	0.98865	0.00000	0.00000	0.00000	0.00058	0.00000	0.00005	0.00000	0.00025	0.00000	0.00036	0.00000	0.00024	0.00000	0.00016	0.00000	0.00388	0.00343	0.00208	0.00018	0.00012	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
32	NoName	0.99112	0.00000	0.00000	0.00000	0.00024	0.00000	0.00003	0.00000	0.00021	0.00000	0.00033	0.00000	0.00023	0.00000	0.00016	0.00000	0.00332	0.00268	0.00148	0.00012	0.00007	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
