49801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875	0.938/0.031/0.031/0.000	0.000/0.031/0.031/0.938	0.969/0.016/0.016/0.000	0.000/0.016/0.016/0.969	0.984/0.008/0.008/0.000	0.000/0.008/0.008/0.984	0.879/0.059/0.059/0.004	0.820/0.086/0.086/0.008	0.766/0.109/0.109/0.016	0.703/0.141/0.141/0.016	0.656/0.156/0.156/0.031	0.562/0.188/0.188/0.062	0.004/0.059/0.059/0.879	0.008/0.086/0.086/0.820	0.016/0.109/0.109/0.766	0.016/0.141/0.141/0.703	0.031/0.156/0.156/0.656	0.062/0.188/0.188/0.562	0.059/0.441/0.441/0.059	0.117/0.414/0.414/0.055	0.055/0.414/0.414/0.117
1	0.13489	0.00000	0.00000	0.00016	0.00673	0.00000	0.05256	0.00000	0.09766	0.00000	0.12002	0.00000	0.12890	0.00000	0.13234	0.00000	0.10109	0.07937	0.06077	0.04085	0.03029	0.01436	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
2	0.00003	0.00000	0.00000	0.00091	0.00006	0.00000	0.00055	0.00000	0.00086	0.00000	0.00073	0.00000	0.00047	0.00000	0.00028	0.00000	0.17129	0.20386	0.24172	0.13012	0.15371	0.09540	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
3	0.00002	0.00000	0.00000	0.00141	0.00007	0.00000	0.00055	0.00000	0.00080	0.00000	0.00066	0.00000	0.00042	0.00000	0.00025	0.00000	0.15924	0.19532	0.23849	0.13350	0.16210	0.10715	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
4	0.13528	0.00000	0.00000	0.00004	0.00665	0.00000	0.05625	0.00000	0.10285	0.00000	0.12366	0.00000	0.13105	0.00000	0.13361	0.00000	0.10175	0.07835	0.05673	0.03852	0.02546	0.00979	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
5	0.19075	0.00000	0.00000	0.00000	0.00126	0.00000	0.03016	0.00000	0.08838	0.00000	0.13527	0.00000	0.16241	0.00000	0.17652	0.00000	0.09082	0.05710	0.03485	0.01850	0.01084	0.00315	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
6	0.04823	0.00000	0.00000	0.00203	0.03430	0.00000	0.09548	0.00000	0.09463	0.00000	0.07709	0.00000	0.06390	0.00000	0.05634	0.00000	0.09621	0.10363	0.10262	0.09054	0.08068	0.05424	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000
7	0.04296	0.00000	0.00000	0.00157	0.01655	0.00000	0.07301	0.00000	0.08453	0.00000	0.07179	0.00000	0.05937	0.00000	0.05165	0.00000	0.10610	0.11698	0.12361	0.09359	0.09362	0.06465	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
8	0.16993	0.00000	0.00000	0.00001	0.00329	0.00000	0.04051	0.00000	0.09427	0.00000	0.13109	0.00000	0.15069	0.00000	0.16043	0.00000	0.09458	0.06478	0.04268	0.02602	0.01617	0.00553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
9	0.14540	0.00000	0.00000	0.00010	0.00735	0.00000	0.05202	0.00000	0.09756	0.00000	0.12301	0.00000	0.13494	0.00000	0.14040	0.00000	0.09757	0.07389	0.05396	0.03702	0.02564	0.01113	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
10	0.24092	0.00000	0.00000	0.00000	0.00048	0.00000	0.01747	0.00000	0.07074	0.00000	0.13304	0.00000	0.17982	0.00000	0.20836	0.00000	0.07342	0.03902	0.02073	0.00962	0.00511	0.00126	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
11	0.17581	0.00000	0.00000	0.00001	0.00263	0.00000	0.03737	0.00000	0.09255	0.00000	0.13230	0.00000	0.15405	0.00000	0.16501	0.00000	0.09360	0.06267	0.04055	0.02386	0.01470	0.00491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	0.18200	0.00000	0.00000	0.00001	0.00210	0.00000	0.03471	0.00000	0.09111	0.00000	0.13369	0.00000	0.15759	0.00000	0.16982	0.00000	0.09228	0.06017	0.03791	0.02160	0.01295	0.00407	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
13	0.24386	0.00000	0.00000	0.00000	0.00041	0.00000	0.01664	0.00000	0.06969	0.00000	0.13295	0.00000	0.18089	0.00000	0.21026	0.00000	0.07247	0.03798	0.01990	0.00906	0.00475	0.00113	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
14	0.25174	0.00000	0.00000	0.00000	0.00033	0.00000	0.01495	0.00000	0.06705	0.00000	0.13248	0.00000	0.18345	0.00000	0.21514	0.00000	0.06954	0.03511	0.01767	0.00778	0.00390	0.00085	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
15	0.17663	0.00000	0.00000	0.00001	0.00254	0.00000	0.03732	0.00000	0.09271	0.00000	0.13268	0.00000	0.15460	0.00000	0.16567	0.00000	0.09333	0.06221	0.03994	0.02347	0.01427	0.00463	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
16	0.23767	0.00000	0.00000	0.00000	0.00054	0.00000	0.01832	0.00000	0.07187	0.00000	0.13313	0.00000	0.17866	0.00000	0.20628	0.00000	0.07452	0.04020	0.02167	0.01023	0.00551	0.00140	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
17	0.00022	0.00000	0.00000	0.00133	0.07054	0.00000	0.14202	0.00000	0.09174	0.00000	0.04602	0.00000	0.02223	0.00000	0.01088	0.00000	0.08417	0.11214	0.12062	0.12552	0.10619	0.06626	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000
18	0.23422	0.00000	0.00000	0.00000	0.00066	0.00000	0.01938	0.00000	0.07301	0.00000	0.13308	0.00000	0.17728	0.00000	0.20398	0.00000	0.07559	0.04145	0.02272	0.01099	0.00603	0.00159	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
19	0.15894	0.00000	0.00000	0.00003	0.00417	0.00000	0.04467	0.00000	0.09675	0.00000	0.12899	0.00000	0.14477	0.00000	0.15214	0.00000	0.09711	0.06912	0.04725	0.02978	0.01921	0.00707	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20	0.24878	0.00000	0.00000	0.00000	0.00033	0.00000	0.01542	0.00000	0.06803	0.00000	0.13278	0.00000	0.18262	0.00000	0.21339	0.00000	0.07074	0.03618	0.01847	0.00817	0.00416	0.00093	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	0.21634	0.00000	0.00000	0.00001	0.00121	0.00000	0.02465	0.00000	0.07875	0.00000	0.13269	0.00000	0.17008	0.00000	0.19200	0.00000	0.08122	0.04810	0.02842	0.01499	0.00883	0.00271	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
