50000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.99729	0.00000	0.00000	0.00006	0.00264	0.00000
2	NoName	0.84432	0.00000	0.00000	0.09145	0.06423	0.00000
3	NoName	0.78562	0.00000	0.00000	0.13508	0.07929	0.00000
4	NoName	0.99714	0.00000	0.00000	0.00002	0.00284	0.00000
5	NoName	0.99963	0.00000	0.00000	0.00000	0.00037	0.00000
6	NoName	0.96245	0.00000	0.00000	0.00204	0.03551	0.00000
7	NoName	0.97759	0.00000	0.00000	0.00203	0.02038	0.00000
8	NoName	0.99891	0.00000	0.00000	0.00000	0.00109	0.00000
9	NoName	0.99730	0.00000	0.00000	0.00004	0.00267	0.00000
10	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
11	NoName	0.99916	0.00000	0.00000	0.00000	0.00083	0.00000
12	NoName	0.99937	0.00000	0.00000	0.00000	0.00063	0.00000
13	NoName	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
14	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
15	NoName	0.99928	0.00000	0.00000	0.00000	0.00072	0.00000
16	NoName	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
17	NoName	0.46194	0.00000	0.00000	0.00993	0.52813	0.00000
18	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
19	NoName	0.99800	0.00000	0.00000	0.00001	0.00199	0.00000
20	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
21	NoName	0.99972	0.00000	0.00000	0.00000	0.00028	0.00000
22	NoName	0.99415	0.00000	0.00000	0.00003	0.00583	0.00000
23	NoName	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
24	NoName	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
25	NoName	0.99725	0.00000	0.00000	0.00004	0.00271	0.00000
26	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
27	NoName	0.99912	0.00000	0.00000	0.00001	0.00087	0.00000
28	NoName	0.99966	0.00000	0.00000	0.00000	0.00034	0.00000
29	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
30	NoName	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
31	NoName	0.99911	0.00000	0.00000	0.00000	0.00088	0.00000
32	NoName	0.99964	0.00000	0.00000	0.00000	0.00036	0.00000
33	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
34	NoName	0.00000	0.00000	0.99797	0.00094	0.00046	0.00063
35	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
36	NoName	0.99978	0.00000	0.00000	0.00000	0.00022	0.00000
37	NoName	0.99975	0.00000	0.00000	0.00000	0.00025	0.00000
38	NoName	0.99772	0.00000	0.00000	0.00001	0.00227	0.00000
39	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
40	NoName	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
41	NoName	0.99888	0.00000	0.00000	0.00001	0.00111	0.00000
42	NoName	0.99948	0.00000	0.00000	0.00000	0.00052	0.00000
43	NoName	0.99966	0.00000	0.00000	0.00000	0.00034	0.00000
44	NoName	0.99947	0.00000	0.00000	0.00000	0.00053	0.00000
45	NoName	0.99987	0.00000	0.00000	0.00000	0.00013	0.00000
46	NoName	0.99906	0.00000	0.00000	0.00000	0.00094	0.00000
47	NoName	0.99935	0.00000	0.00000	0.00000	0.00065	0.00000
48	NoName	0.99971	0.00000	0.00000	0.00000	0.00029	0.00000
49	NoName	0.99957	0.00000	0.00000	0.00000	0.00043	0.00000
50	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
51	NoName	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
52	NoName	0.99970	0.00000	0.00000	0.00000	0.00030	0.00000
53	NoName	0.99892	0.00000	0.00000	0.00001	0.00107	0.00000
54	NoName	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
55	NoName	0.99791	0.00000	0.00000	0.00001	0.00208	0.00000
56	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
57	NoName	0.99954	0.00000	0.00000	0.00000	0.00046	0.00000
58	NoName	0.99987	0.00000	0.00000	0.00000	0.00013	0.00000
59	NoName	0.99972	0.00000	0.00000	0.00000	0.00028	0.00000
60	NoName	0.99908	0.00000	0.00000	0.00001	0.00092	0.00000
61	NoName	0.99938	0.00000	0.00000	0.00000	0.00061	0.00000
62	NoName	0.99897	0.00000	0.00000	0.00001	0.00102	0.00000
63	NoName	0.99657	0.00000	0.00000	0.00010	0.00333	0.00000
64	NoName	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
65	NoName	0.99975	0.00000	0.00000	0.00000	0.00025	0.00000
66	NoName	0.99967	0.00000	0.00000	0.00000	0.00033	0.00000
67	NoName	0.99982	0.00000	0.00000	0.00000	0.00018	0.00000
68	NoName	0.99738	0.00000	0.00000	0.00002	0.00261	0.00000
69	NoName	0.99983	0.00000	0.00000	0.00000	0.00017	0.00000
70	NoName	0.99793	0.00000	0.00000	0.00002	0.00205	0.00000
71	NoName	0.99923	0.00000	0.00000	0.00000	0.00077	0.00000
72	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
73	NoName	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
74	NoName	0.99979	0.00000	0.00000	0.00000	0.00021	0.00000
75	NoName	0.99640	0.00000	0.00000	0.00004	0.00356	0.00000
76	NoName	0.99933	0.00000	0.00000	0.00000	0.00066	0.00000
77	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
78	NoName	0.99918	0.00000	0.00000	0.00001	0.00081	0.00000
79	NoName	0.99988	0.00000	0.00000	0.00000	0.00011	0.00000
80	NoName	0.99943	0.00000	0.00000	0.00000	0.00057	0.00000
81	NoName	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
82	NoName	0.99915	0.00000	0.00000	0.00000	0.00085	0.00000
83	NoName	0.99830	0.00000	0.00000	0.00001	0.00168	0.00000
84	NoName	0.99983	0.00000	0.00000	0.00000	0.00016	0.00000
85	NoName	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
86	NoName	0.99971	0.00000	0.00000	0.00000	0.00029	0.00000
87	NoName	0.99973	0.00000	0.00000	0.00000	0.00027	0.00000
88	NoName	0.99935	0.00000	0.00000	0.00000	0.00065	0.00000
89	NoName	0.99965	0.00000	0.00000	0.00000	0.00035	0.00000
90	NoName	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
91	NoName	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
92	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
93	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
94	NoName	0.99954	0.00000	0.00000	0.00000	0.00046	0.00000
95	NoName	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
96	NoName	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
97	NoName	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
98	NoName	0.99977	0.00000	0.00000	0.00000	0.00023	0.00000
99	NoName	0.99334	0.00000	0.00000	0.00009	0.00657	0.00000
100	NoName	0.99976	0.00000	0.00000	0.00000	0.00024	0.00000
101	NoName	0.99982	0.00000	0.00000	0.00000	0.00018	0.00000
102	NoName	0.99974	0.00000	0.00000	0.00000	0.00026	0.00000
103	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
104	NoName	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
105	NoName	0.99750	0.00000	0.00000	0.00002	0.00248	0.00000
106	NoName	0.99940	0.00000	0.00000	0.00001	0.00059	0.00000
107	NoName	0.99407	0.00000	0.00000	0.00003	0.00590	0.00000
108	NoName	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
109	NoName	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
110	NoName	0.99173	0.00000	0.00000	0.00005	0.00821	0.00000
111	NoName	0.99962	0.00000	0.00000	0.00000	0.00037	0.00000
112	NoName	0.99985	0.00000	0.00000	0.00000	0.00015	0.00000
113	NoName	0.99958	0.00000	0.00000	0.00000	0.00042	0.00000
114	NoName	0.99979	0.00000	0.00000	0.00000	0.00021	0.00000
115	NoName	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
116	NoName	0.99974	0.00000	0.00000	0.00000	0.00026	0.00000
117	NoName	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
118	NoName	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
119	NoName	0.99985	0.00000	0.00000	0.00000	0.00014	0.00000
