49801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.95062	0.00000	0.00000	0.00119	0.04819	0.00000
2	0.29605	0.00000	0.00000	0.36113	0.34282	0.00000
3	0.21835	0.00000	0.00000	0.44384	0.33781	0.00000
4	0.94869	0.00000	0.00000	0.00029	0.05102	0.00000
5	0.99291	0.00000	0.00000	0.00002	0.00707	0.00000
6	0.57665	0.00000	0.00000	0.02373	0.39961	0.00000
7	0.69804	0.00000	0.00000	0.02783	0.27413	0.00000
8	0.97951	0.00000	0.00000	0.00009	0.02040	0.00000
9	0.95062	0.00000	0.00000	0.00069	0.04869	0.00000
10	0.99792	0.00000	0.00000	0.00000	0.00207	0.00000
11	0.98422	0.00000	0.00000	0.00008	0.01570	0.00000
12	0.98806	0.00000	0.00000	0.00004	0.01190	0.00000
13	0.99824	0.00000	0.00000	0.00000	0.00176	0.00000
14	0.99858	0.00000	0.00000	0.00000	0.00142	0.00000
15	0.98631	0.00000	0.00000	0.00005	0.01364	0.00000
16	0.99764	0.00000	0.00000	0.00001	0.00235	0.00000
17	0.04701	0.00000	0.00000	0.01798	0.93500	0.00000
18	0.99709	0.00000	0.00000	0.00001	0.00290	0.00000
19	0.96530	0.00000	0.00000	0.00022	0.03447	0.00000
20	0.99860	0.00000	0.00000	0.00000	0.00140	0.00000
21	0.99464	0.00000	0.00000	0.00002	0.00534	0.00000
22	0.90085	0.00000	0.00000	0.00045	0.09870	0.00000
23	0.99829	0.00000	0.00000	0.00000	0.00171	0.00000
24	0.99888	0.00000	0.00000	0.00000	0.00112	0.00000
25	0.94976	0.00000	0.00000	0.00079	0.04945	0.00000
26	0.99714	0.00000	0.00000	0.00001	0.00286	0.00000
27	0.98340	0.00000	0.00000	0.00020	0.01640	0.00000
28	0.99345	0.00000	0.00000	0.00001	0.00653	0.00000
29	0.99785	0.00000	0.00000	0.00000	0.00214	0.00000
30	0.99724	0.00000	0.00000	0.00001	0.00275	0.00000
31	0.98333	0.00000	0.00000	0.00008	0.01658	0.00000
32	0.99309	0.00000	0.00000	0.00001	0.00689	0.00000
33	0.99910	0.00000	0.00000	0.00000	0.00090	0.00000
34	0.00000	0.00000	0.99371	0.00199	0.00093	0.00336
35	0.99870	0.00000	0.00000	0.00000	0.00130	0.00000
36	0.99575	0.00000	0.00000	0.00002	0.00424	0.00000
37	0.99528	0.00000	0.00000	0.00002	0.00470	0.00000
38	0.98970	0.00000	0.00000	0.00003	0.01027	0.00000
39	0.99788	0.00000	0.00000	0.00000	0.00212	0.00000
40	0.99802	0.00000	0.00000	0.00000	0.00198	0.00000
41	0.97906	0.00000	0.00000	0.00015	0.02079	0.00000
42	0.99010	0.00000	0.00000	0.00004	0.00986	0.00000
43	0.99352	0.00000	0.00000	0.00001	0.00647	0.00000
44	0.98988	0.00000	0.00000	0.00005	0.01007	0.00000
45	0.99760	0.00000	0.00000	0.00000	0.00239	0.00000
46	0.98223	0.00000	0.00000	0.00008	0.01769	0.00000
47	0.98762	0.00000	0.00000	0.00004	0.01234	0.00000
48	0.99454	0.00000	0.00000	0.00001	0.00545	0.00000
49	0.99180	0.00000	0.00000	0.00005	0.00816	0.00000
50	0.99715	0.00000	0.00000	0.00001	0.00284	0.00000
51	0.99850	0.00000	0.00000	0.00000	0.00150	0.00000
52	0.99432	0.00000	0.00000	0.00002	0.00566	0.00000
53	0.97977	0.00000	0.00000	0.00010	0.02013	0.00000
54	0.99632	0.00000	0.00000	0.00001	0.00367	0.00000
55	0.96156	0.00000	0.00000	0.00018	0.03826	0.00000
56	0.99713	0.00000	0.00000	0.00001	0.00286	0.00000
57	0.99126	0.00000	0.00000	0.00004	0.00870	0.00000
58	0.99745	0.00000	0.00000	0.00000	0.00255	0.00000
59	0.99458	0.00000	0.00000	0.00002	0.00540	0.00000
60	0.98471	0.00000	0.00000	0.00009	0.01520	0.00000
61	0.98834	0.00000	0.00000	0.00008	0.01158	0.00000
62	0.98054	0.00000	0.00000	0.00019	0.01928	0.00000
63	0.93822	0.00000	0.00000	0.00188	0.05991	0.00000
64	0.99699	0.00000	0.00000	0.00001	0.00301	0.00000
65	0.99526	0.00000	0.00000	0.00002	0.00473	0.00000
66	0.99371	0.00000	0.00000	0.00002	0.00627	0.00000
67	0.99662	0.00000	0.00000	0.00001	0.00337	0.00000
68	0.95221	0.00000	0.00000	0.00030	0.04749	0.00000
69	0.99668	0.00000	0.00000	0.00001	0.00331	0.00000
70	0.96186	0.00000	0.00000	0.00037	0.03777	0.00000
71	0.98541	0.00000	0.00000	0.00006	0.01453	0.00000
72	0.99710	0.00000	0.00000	0.00001	0.00289	0.00000
73	0.99826	0.00000	0.00000	0.00000	0.00173	0.00000
74	0.99594	0.00000	0.00000	0.00001	0.00406	0.00000
75	0.93813	0.00000	0.00000	0.00064	0.06123	0.00000
76	0.98754	0.00000	0.00000	0.00009	0.01237	0.00000
77	0.99713	0.00000	0.00000	0.00001	0.00286	0.00000
78	0.98444	0.00000	0.00000	0.00023	0.01533	0.00000
79	0.99780	0.00000	0.00000	0.00000	0.00220	0.00000
80	0.98910	0.00000	0.00000	0.00008	0.01082	0.00000
81	0.99804	0.00000	0.00000	0.00000	0.00195	0.00000
82	0.98392	0.00000	0.00000	0.00008	0.01600	0.00000
83	0.96847	0.00000	0.00000	0.00025	0.03129	0.00000
84	0.99696	0.00000	0.00000	0.00001	0.00303	0.00000
85	0.99631	0.00000	0.00000	0.00001	0.00368	0.00000
86	0.99449	0.00000	0.00000	0.00002	0.00549	0.00000
87	0.99492	0.00000	0.00000	0.00002	0.00506	0.00000
88	0.98769	0.00000	0.00000	0.00005	0.01226	0.00000
89	0.99331	0.00000	0.00000	0.00003	0.00666	0.00000
90	0.99806	0.00000	0.00000	0.00000	0.00194	0.00000
91	0.99840	0.00000	0.00000	0.00000	0.00160	0.00000
92	0.99794	0.00000	0.00000	0.00000	0.00206	0.00000
93	0.99708	0.00000	0.00000	0.00001	0.00292	0.00000
94	0.99128	0.00000	0.00000	0.00002	0.00870	0.00000
95	0.99738	0.00000	0.00000	0.00001	0.00261	0.00000
96	0.99773	0.00000	0.00000	0.00000	0.00226	0.00000
97	0.99691	0.00000	0.00000	0.00001	0.00308	0.00000
98	0.99567	0.00000	0.00000	0.00001	0.00432	0.00000
99	0.90968	0.00000	0.00000	0.00128	0.08904	0.00000
100	0.99543	0.00000	0.00000	0.00001	0.00455	0.00000
101	0.99650	0.00000	0.00000	0.00001	0.00349	0.00000
102	0.99495	0.00000	0.00000	0.00002	0.00502	0.00000
103	0.99792	0.00000	0.00000	0.00000	0.00208	0.00000
104	0.99792	0.00000	0.00000	0.00000	0.00208	0.00000
105	0.95420	0.00000	0.00000	0.00048	0.04532	0.00000
106	0.98866	0.00000	0.00000	0.00011	0.01123	0.00000
107	0.89975	0.00000	0.00000	0.00050	0.09975	0.00000
108	0.99883	0.00000	0.00000	0.00000	0.00117	0.00000
109	0.99870	0.00000	0.00000	0.00000	0.00130	0.00000
110	0.86613	0.00000	0.00000	0.00092	0.13295	0.00000
111	0.99286	0.00000	0.00000	0.00002	0.00712	0.00000
112	0.99705	0.00000	0.00000	0.00001	0.00295	0.00000
113	0.99193	0.00000	0.00000	0.00003	0.00804	0.00000
114	0.99600	0.00000	0.00000	0.00001	0.00399	0.00000
115	0.99645	0.00000	0.00000	0.00001	0.00354	0.00000
116	0.99500	0.00000	0.00000	0.00002	0.00498	0.00000
117	0.99846	0.00000	0.00000	0.00000	0.00154	0.00000
118	0.99904	0.00000	0.00000	0.00000	0.00096	0.00000
119	0.99723	0.00000	0.00000	0.00001	0.00277	0.00000
120	0.97898	0.00000	0.00000	0.00006	0.02096	0.00000
121	0.99745	0.00000	0.00000	0.00001	0.00254	0.00000
