"NAME_1","F2xBCJC","JC","F1","complexBCJC","BC2JC","BCJA","BCJAxBCJA","BCJC","BCJCxBC2JAvs","BCJCxBC3JC","BCJCxBCJA","F2","JA","complexBCF","complexBCJA","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Hybrid_perc"
"Alabama",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,0.166666666666667
"Arkansas",0,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974406934782609,2,0.0434782608695652
"Connecticut",9,13,25,3,1,5,2,11,3,1,2,6,4,7,4,0,0,0,0,0,0,0,0,0.581235927083333,79,0.822916666666667
"Delaware",1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6205,3,0.5
"Illinois",23,99,3,10,4,1,0,0,1,6,2,0,5,0,0,3,2,0,0,0,0,0,0,0.886150779874214,55,0.345911949685535
"Indiana",16,91,1,6,4,3,1,0,1,1,0,6,1,1,0,0,1,1,1,0,0,0,0,0.885194303703704,43,0.318518518518519
"Iowa",1,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.956499178571429,3,0.107142857142857
"Kentucky",1,83,1,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0.950724532608696,7,0.0760869565217391
"Maine",3,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0.870849055555556,12,0.666666666666667
"Maryland",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718,0,0
"Massachusetts",0,18,5,3,0,1,0,8,0,0,0,7,0,4,5,0,0,0,0,0,0,0,0,0.692921568627451,33,0.647058823529412
"Michigan",2,26,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.95538940625,6,0.1875
"Minnesota",8,101,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.959356618644068,17,0.144067796610169
"Mississippi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999955,0,0
"Missouri",3,207,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.98194835046729,7,0.0327102803738318
"Nebraska",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99995625,0,0
"New Brunswick",0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995591024096386,0,0
"New Hampshire",7,33,2,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.893476,15,0.3125
"New Jersey",0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6794035,2,0.5
"New York",7,42,0,1,2,1,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0.8952919,18,0.3
"North Carolina",15,27,0,0,0,2,0,1,0,1,0,0,9,0,0,0,0,1,0,0,0,0,1,0.714427684210526,21,0.368421052631579
"Ohio",6,58,0,3,1,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.914032013333333,16,0.213333333333333
"Ontario",0,172,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994431772727273,4,0.0227272727272727
"Pennsylvania",3,253,29,7,1,4,2,10,0,1,1,10,2,8,0,0,1,1,0,0,0,0,0,0.885602825825826,78,0.234234234234234
"Québec",0,54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.983519178571429,2,0.0357142857142857
"Tennessee",1,210,1,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.979598232876712,9,0.0410958904109589
"Vermont",15,622,3,9,0,0,0,2,0,4,5,4,0,1,0,2,0,0,0,0,1,0,0,0.990653998502994,46,0.0688622754491018
"Virginia",4,102,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974067675675676,9,0.0810810810810811
"West Virginia",13,134,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.960617781456954,17,0.112582781456954
"Wisconsin",14,248,0,3,1,0,0,0,0,3,0,3,4,1,0,2,1,1,0,0,1,0,0,0.956778468085106,30,0.106382978723404
