"NAME_1","JC","complexBCJC","F1","BC2JAxBC3JC","BCJA","BCJAxBCJA","BCJC","BCJCxBC3JC","BCJCxBCJA","BCJCxBCJC","F2","JA","complexBCF","complexBCJA","BC2JC","BC2JCxBC3JC","BCJCxBC2JC","BC4JC","BC6JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"Alabama",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,6,16.6666666666667
"Arkansas",44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974406934782609,2,46,4.34782608695652
"Connecticut",13,5,25,1,5,2,15,1,2,2,10,4,7,4,0,0,0,0,0,0.581235927083333,79,96,82.2916666666667
"Delaware",2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.6205,3,6,50
"Illinois",99,21,2,1,0,0,13,3,2,3,4,5,1,1,3,1,1,0,0,0.88629024375,56,160,35
"Indiana",91,9,1,1,3,1,9,1,0,1,11,1,1,1,2,1,0,1,0,0.885194303703704,43,135,31.8518518518519
"Iowa",25,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.956499178571429,3,28,10.7142857142857
"Kentucky",83,1,1,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0.950724532608696,7,92,7.60869565217391
"Maine",6,4,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,1,0,0.870849055555556,12,18,66.6666666666667
"Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718,0,1,0
"Massachusetts",18,3,5,0,1,0,8,0,0,0,7,0,4,5,0,0,0,0,0,0.692921568627451,33,51,64.7058823529412
"Michigan",24,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.95538940625,8,32,25
"Minnesota",100,4,3,0,0,0,2,0,0,4,2,0,0,0,1,0,0,0,2,0.959356618644068,18,118,15.2542372881356
"Mississippi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999955,0,1,0
"Missouri",207,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.982753685446009,6,213,2.8169014084507
"Nebraska",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99995625,0,4,0
"New Brunswick",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995591024096386,0,166,0
"New Hampshire",33,3,1,0,0,0,4,0,2,0,4,0,0,0,0,1,0,0,0,0.893476,15,48,31.25
"New Jersey",2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6794035,2,4,50
"New York",42,3,1,3,0,0,4,0,2,1,2,0,0,1,1,0,0,0,0,0.8952919,18,60,30
"North Carolina",26,4,0,5,3,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0.714427684210526,22,57,38.5964912280702
"Ohio",58,3,0,1,2,0,2,1,2,0,2,1,1,0,0,0,0,0,2,0.914032013333333,16,75,21.3333333333333
"Ontario",171,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.994431772727273,5,176,2.84090909090909
"Pennsylvania",253,8,29,0,4,1,12,1,1,1,10,2,8,2,0,0,0,1,0,0.885602825825826,78,333,23.4234234234234
"Québec",54,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.983519178571429,2,56,3.57142857142857
"Tennessee",210,2,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0.979598232876712,9,219,4.10958904109589
"Vermont",621,15,3,0,0,0,12,0,3,3,4,0,3,0,1,0,0,1,2,0.990653998502994,47,668,7.03592814371257
"Virginia",102,2,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0.974067675675676,9,111,8.10810810810811
"West Virginia",134,4,0,2,0,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0.961733166666667,15,150,10
"Wisconsin",249,7,0,1,1,0,7,2,0,0,7,4,0,0,1,1,0,1,1,0.956778468085106,29,282,10.2836879432624
