Hybrid_Category,Minimum_Number_Hybrid_Generations,Notation,Expected Ancestry Proportion,AmongHybridMatings
JC,0,JC,1,No
BC6JC,7,((((((JA*JC)*JC)*JC)*JC)*JC)*JC)*JC,0.9921875,No
BC5JC,6,(((((JA*JC)*JC)*JC)*JC)*JC)*JC,0.984375,No
BC4JC,5,((((JA*JC)*JC)*JC)*JC)*JC,0.96875,No
BC3JC,4,(((JA*JC)*JC)*JC)*JC,0.9375,No
BC3JCxBC3JC,5,((((JA*JC)*JC)*JC)*JC)*((((JA*JC)*JC)*JC)*JC),0.9375,Yes
BC2JCxBC3JC,5,(((JA*JC)*JC)*JC)*((((JA*JC)*JC)*JC)*JC),0.90625,Yes
BC2JC,3,((JA*JC)*JC)*JC,0.875,No
BC2JCxBC2JC,4,(((JA*JC)*JC)*JC)*(((JA*JC)*JC)*JC),0.875,Yes
BCJCxBC3JC,5,((JA*JC)*JC)*((((JA*JC)*JC)*JC)*JC),0.84375,Yes
BCJCxBC2JC,4,((JA*JC)*JC)*(((JA*JC)*JC)*JC),0.8125,Yes
BCJC,2,(JA*JC)*JC,0.75,No
BCJCxBCJC,3,((JA*JC)*JC)*((JA*JC)*JC),0.75,Yes
BC2JAxBC3JC,5,(((JA*JC)*JA)*JA)*((((JA*JC)*JC)*JC)*JC),0.53125,Yes
F1,1,JA*JC,0.5,No
F2,2,(JA*JC)*(JA*JC),0.5,Yes
BCJCxBCJA,3,((JA*JC)*JC)*((JA*JC)*JA),0.5,Yes
BC3JAxBC2JC,5,((((JA*JC)*JA)*JA)*JA)*(((JA*JC)*JC)*JC),0.46875,Yes
BCJA,2,(JA*JC)*JA,0.25,No
BCJAxBCJA,3,((JA*JC)*JA)*((JA*JC)*JA),0.25,Yes
BCJAxBC2JA,4,((JA*JC)*JA)*(((JA*JC)*JA)*JA),0.1875,Yes
BCJAxBC3JA,5,((JA*JC)*JA)*((((JA*JC)*JA)*JA)*JA),0.15625,Yes
BC2JA,3,((JA*JC)*JA)*JA,0.125,No
BC2JAxBC2JA,4,(((JA*JC)*JA)*JA)*(((JA*JC)*JA)*JA),0.125,Yes
BC2JAxBC3JA,5,(((JA*JC)*JA)*JA)*((((JA*JC)*JA)*JA)*JA),0.09375,Yes
BC3JA,4,(((JA*JC)*JA)*JA)*JA,0.0625,No
BC3JAxBC3JA,5,((((JA*JC)*JA)*JA)*JA)*((((JA*JC)*JA)*JA)*JA),0.0625,Yes
BC4JA,5,((((JA*JC)*JA)*JA)*JA)*JA,0.03125,No
BC5JA,6,(((((JA*JC)*JA)*JA)*JA)*JA)*JA,0.015625,No
BC6JA,7,((((((JA*JC)*JA)*JA)*JA)*JA)*JA)*JA,0.0078125,No
JA,0,JA,0,No
complexBCJC,3,"multiple combinations of JA/JC/Fgen and backcross matings (ancestry proportion greater than 0.6, majority JC ancestry)",>0.5*,Yes
complexBCJA,3,"multiple combinations of JA/JC/Fgen and backcross matings (ancestry proportion less than 0.4, majority JA ancestry)",<0.5*,Yes
complexBCF,3,multiple combinations of JA/JC/Fgen and backcross matings (ancestry proportion remains between 0.4 and 0.6),~0.5*,Yes
