"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"CA.NB.CA","Carleton","New Brunswick",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965857142857,0,7,0
"CA.NB.KI","Kings","New Brunswick",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999658,0,10,0
"CA.NB.NO","Northumberland","New Brunswick",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965636363636,0,11,0
"CA.NB.SU","Sunbury","New Brunswick",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,12,0
"CA.NB.VI","Victoria","New Brunswick",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999656,0,5,0
"CA.NB.YO","York","New Brunswick",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,10,0
"CA.ON.DF","Dufferin","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"CA.ON.DR","Durham","Ontario",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,4,0
"CA.ON.EL","Elgin","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.ES","Essex","Ontario",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965666666667,0,3,0
"CA.ON.FR","Frontenac","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.GR","Grey","Ontario",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996575,0,4,0
"CA.ON.HA","Hamilton","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.HN","Haldimand-Norfolk","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.HT","Halton","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"CA.ON.HU","Huron","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,2,0
"CA.ON.KT","Chatham-Kent","Ontario",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964333333333,0,3,0
"CA.ON.LG","Leeds and Grenville","Ontario",39,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998888674418605,4,43,9.30232558139535
"CA.ON.LM","Lambton","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.LN","Lanark","Ontario",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,3,0
"CA.ON.MI","Middlesex","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,2,0
"CA.ON.NG","Niagara","Ontario",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840170666666667,1,3,33.3333333333333
"CA.ON.OT","Ottawa","Ontario",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999646,0,5,0
"CA.ON.PB","Peterborough","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,2,0
"CA.ON.PL","Peel","Ontario",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"CA.ON.PR","Prescott and Russell","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"CA.ON.SC","Simcoe","Ontario",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,4,0
"CA.ON.SD","Stormont, Dundas and Glengarry","Ontario",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996525,0,4,0
"CA.ON.VI","Kawartha Lakes","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"CA.ON.YO","York","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,2,0
"CA.QC.FR","Francheville","Québec",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999122,0,10,0
"CA.QC.MG","Memphrémagog","Québec",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,9,0
"CA.QC.OU","Communauté-Urbaine-de-l'Outaouai","Québec",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571595,1,1,100
"CA.QC.PN","Pontiac","Québec",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9507632,1,10,10
"CA.QC.PP","Papineau","Québec",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999653,0,10,0
"CA.QC.QU","Communauté-Urbaine-de-Québec","Québec",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999959444444444,0,9,0
"CA.QC.VS","Vaudreuil-Soulanges","Québec",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964571428571,0,7,0
"US.AL.CL","Colbert","Alabama",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,6,16.6666666666667
"US.AR.BA","Baxter","Arkansas",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999648,0,5,0
"US.AR.NW","Newton","Arkansas",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,3,0
"US.CT.FA","Fairfield","Connecticut",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.63466225,4,4,100
"US.CT.HA","Hartford","Connecticut",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.759425333333333,3,3,100
"US.CT.MI","Middlesex","Connecticut",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.410665,1,1,100
"US.CT.TO","Tolland","Connecticut",1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0.715269666666667,5,6,83.3333333333333
"US.CT.WI","Windham","Connecticut",1,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0.595805125,7,8,87.5
"US.DE.NE","New Castle","Delaware",2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.6205,3,6,50
"US.IA.AL","Allamakee","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.BO","Boone","Iowa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52449,1,1,100
"US.IA.CT","Clayton","Iowa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.IA.DL","Dallas","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.DS","Des Moines","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.FO","Fremont","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.LE","Lee","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953,0,1,0
"US.IA.MS","Marshall","Iowa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,2,0
